Phrase	Translation
我回来了。	[["I've returned.", 895096.0]]
我很喜欢苹果。	[['I love apples.', 452809.0]]
哪个是我的？	[['Which one is mine?', 1432893.0]]
我喜欢看电影。	[['I like watching movies.', 684673.0]]
昨天我十点去睡觉了。	[['Yesterday, I went to bed at ten.', 10135309.0]]
请叫我 Taro。	[['Please call me Taro.', 275173.0]]
我叫他来的。	[['I told him to come.', 260501.0]]
我叫Andrea。	[['My name is Andrea.', 378663.0]]
我学习。	[['I study.', 750342.0]]
我爱她。	[['I love her.', 261221.0]]
我喜欢你。	[['I like you.', 410751.0]]
我爱上了你。	[['I fell in love with you.', 762039.0]]
我什么都没看见。	[['I saw nothing.', 256395.0]]
是, 我来了。	[["Yes, I'm coming.", 72123.0]]
我请你。	[["I'll treat you.", 17568.0]]
我是Tom Hunter。	[["I'm Tom Hunter.", 33513.0]]
我很好。	[["I'm fine.", 257272.0]]
他来看我了。	[['He came to see me.', 297579.0]]
我妈妈很漂亮。	[['My mother is beautiful.', 250277.0]]
我朋友都叫我Beth。	[['My friends call me Beth.', 324421.0]]
我爱上了她。	[['I fell in love with her.', 308938.0]]
他是我的菜!	[['He is my type!', 284379.0]]
我不是学生。	[['I am not a student.', 1354298.0]]
不，我没去。	[["No, I didn't go.", 516735.0]]
我爱电影。	[['I love movies.', 521657.0]]
我不认识她。	[["I don't know her.", 387602.0]]
她是我的同学。	[["She's my classmate.", 321453.0]]
我认识他。	[['I know him.', 71751.0]]
我不喜欢电影。	[["I don't like movies.", 419109.0]]
我不喜欢她。	[["I don't like her.", 261041.0]]
我来了。	[['I came.', 453551.0]]
我好高兴。	[['I am very happy.', 2811840.0]]
我会很高兴看见你。	[['I would so love to see you.', 826782.0]]
我能看那个吗？	[['Can I see that one?', 66995.0]]
我不是个老师。	[['I am not a teacher.', 259070.0]]
我很喜欢电影。	[['I like movies a lot.', 521656.0]]
我爱上她了。	[["I'm in love with her.", 394631.0]]
我不会再见她。	[["I won't see her again.", 394803.0]]
我现在很高兴。	[["I'm very happy now.", 241700.0]]
她和我是同学。	[['She and I are classmates.', 321410.0]]
我不喝水。	[["I don't drink water.", 1496058.0]]
我昨天都没读书。	[["I didn't study at all yesterday.", 257788.0]]
他不会听我的。	[['He will not listen to me.', 291954.0]]
我喜欢狗和猫。	[['I like both dogs and cats.', 28947.0]]
我昨天去了医院。	[['I went to the hospital yesterday.', 244671.0]]
我明天会来看你。	[["I'm coming to see you tomorrow.", 323474.0]]
我妈妈很喜欢茶。	[['My mum likes tea very much.', 758894.0]]
我是Alan Tate，Terry Tate的儿子。	[["I'm Alan Tate, Terry Tate's son.", 253030.0]]
我明天会回日本。	[["I'll come back to Japan tomorrow.", 261943.0]]
我去学校。	[['I go to school.', 472089.0]]
你和我是好朋友。	[['You and I are good friends.', 17588.0]]
我很好，谢谢。	[["I'm very well, thank you.", 868568.0]]
我明天不会去学校。	[['I will not go to school tomorrow.', 261934.0]]
我不是很喜欢那里的商店。	[["I don't really like the stores there.", 31122.0]]
我是谁？	[['Who am I?', 259378.0]]
我听你的。	[['I heard you.', 885698.0]]
你不会来我家吗?	[["Won't you come over to my place?", 65597.0]]
Luke，我是你的爸爸。	[['Luke, I am your father.', 857305.0]]
Luke，我是你的儿子。	[['Luke, I am your son.', 917764.0]]
我昨天去看了电影。	[['I went to see the movies yesterday.', 257754.0]]
我喜欢去学校	[['I like to go to school.', 922269.0]]
我是个老师。	[['I am a teacher.', 259069.0]]
你是我的朋友。	[["You're my friend.", 1895595.0]]
我是老师。	[['I am a teacher.', 259069.0]]
昨天我去了那里。	[['I went there yesterday.', 257721.0]]
我不爱你。	[["I don't love you.", 1213414.0]]
我喜欢吃。	[['I like to eat.', 773320.0]]
我不喜欢大狗。	[["I don't like big dogs.", 1245327.0]]
我的医生叫什么名字？	[["What's the name of my doctor?", 687468.0]]
我和他是朋友。	[['Me and him are friends.', 1283963.0]]
我喜欢中国。	[['I like China.', 1098224.0]]
你是我妈妈。	[['You are my mother.', 1097988.0]]
我不喜欢。	[["I don't like it.", 2271878.0]]
你会来，我很高兴。	[["I'm glad that you will come.", 3618398.0]]
她是我女儿。	[['She is my daughter.', 724404.0]]
我不会再见他了。	[["I won't see him anymore.", 1524231.0]]
我的名字是Ludwig。	[['My name is Ludwig.', 854501.0]]
我叫Ludwig。	[['My name is Ludwig.', 854501.0]]
我太高兴了！	[["I'm too happy!", 1539551.0]]
我叫Luis。	[['My name is Luis.', 716144.0]]
我喜欢那个人。	[['I like that person.', 1256149.0]]
你认识我吗？	[['Do you know me?', 69295.0]]
我爱我的女儿。	[['I love my daughter.', 1855062.0]]
今天我四岁了。	[['Today I am four years old.', 1905091.0]]
我不是你的妈妈。	[["I'm not your mother.", 1943924.0]]
我不是你爸爸。	[["I'm not your father.", 1943923.0]]
我不是你女儿。	[["I'm not your daughter.", 1943922.0]]
我不是你儿子。	[["I'm not your son.", 1943921.0]]
你爱上了我吗？	[["You've fallen in love with me?", 2184764.0]]
我怎么了?	[["What'd I do?", 1841536.0]]
我是猫。	[['I am a cat.', 2068388.0]]
爸爸，我爱你！	[['Daddy, I love you!', 2075226.0]]
我明天不工作。	[["I don't work tomorrow.", 2306419.0]]
我昨天没工作。	[["I didn't work yesterday.", 2306428.0]]
我学习汉语。	[["I'm learning Chinese.", 2116405.0]]
她爱的是你，不是我。	[["It's you that she loves, not me.", 308175.0]]
我不高兴看电视。	[["I don't feel like watching TV.", 1495781.0]]
我是医生。	[['I am a doctor.', 436293.0]]
我爱你！	[['I love you!', 2365642.0]]
我很喜欢猫。	[['I like cats very much.', 2409622.0]]
我不是医生。	[["I'm not a doctor.", 1194034.0]]
我去了医院。	[['I went to the hospital.', 2661742.0]]
我昨天去学校。	[['I went to school yesterday.', 257759.0]]
我喜欢他。	[['I like him.', 283629.0]]
那我呢?	[['What about me?', 2549675.0]]
我不是医生，我是老师。	[["I'm not a doctor, but a teacher.", 1300825.0]]
我高兴你喜欢我的朋友。	[["I'm glad you liked my friends.", 2542455.0]]
明天我回家。	[["Tomorrow I'm going back home.", 2926313.0]]
你对不起我。	[['You do me wrong.', 16077.0]]
我很高兴。	[["I'm happy.", 1872056.0]]
我吃苹果了。	[['I ate apples.', 3378092.0]]
我吃了那个苹果。	[['I ate that apple.', 3378096.0]]
我不高兴。	[['I am not happy.', 3378134.0]]
你什么时候能来我家？	[['When can you come to my home?', 3378293.0]]
我不喜欢他。	[["I don't like him.", 354256.0]]
我看了他的书。	[['I am reading his book.', 3299671.0]]
我的名字叫Ricardo, 你呢?	[["My name's Ricardo. What's yours?", 3633968.0]]
你什么时候爱上我的？	[['When did you fall in love with me?', 3657299.0]]
那是我的爱好。	[["That's my hobby.", 3658521.0]]
我不会来。	[['I will not come.', 3702707.0]]
我很喜欢狗。	[['I like dogs very much.', 257235.0]]
你不是我的朋友了。	[["You're not my friend anymore.", 1651131.0]]
她是我的菜。	[["She's my type.", 314284.0]]
Tom认识我。	[['Tom knows me.', 2237133.0]]
Mary认识我。	[['Mary knows me.', 2867199.0]]
我认识她。	[['I know her.', 424848.0]]
你什么时候认识我的？	[['When did you get to know me?', 4008730.0]]
对不起，我不会去。	[["Sorry I won't be there.", 50766.0]]
我喜欢猫。	[['I like cats.', 354379.0]]
那是我的吗？	[["Isn't that mine?", 2248691.0]]
我怎么回家?	[['How can I return home?', 4577204.0]]
我爱那本书。	[['I love that book.', 4496121.0]]
我的朋友人都很好。	[['My friends are all really nice.', 4626119.0]]
我不喜欢学习。	[["I don't like studying.", 261642.0]]
我什么都不喜欢。	[["I don't like anything.", 631758.0]]
我不喜欢你。	[['I do not like you.', 3895183.0]]
我不喜欢喝茶。	[["I don't like tea.", 1098278.0]]
我是老师，你呢	[['I am a teacher, what about you?', 4713269.0]]
我是昨天来的	[['I arrived yesterday.', 3818358.0]]
我不是学生	[['I am not a student.', 1354298.0]]
明天我能去你家。	[['I can go to your house tomorrow.', 4728307.0]]
我的名字是Irakli	[['My name is Irakli.', 4831045.0]]
我不是医生	[["I'm not a doctor.", 1194034.0]]
我去买点东西。	[['I am going to buy some things.', 5573332.0]]
我很高兴你回来了。	[["I'm glad you came over.", 4649577.0]]
我睡觉了。	[['I am going to sleep.', 845539.0]]
不是我的。	[["It's not mine.", 1894573.0]]
我不是中国人。	[["I'm not Chinese.", 5675728.0]]
我不喜欢看电视。	[["I don't like watching TV.", 5812053.0]]
他是我的爸爸。	[['He is my dad.', 6054174.0]]
我是你爸爸。	[["I'm your father.", 1891163.0]]
我很冷。	[['I was so cold.', 2549720.0]]
我能看见。	[['I could see that.', 1467591.0]]
我不回去。	[["I'm not turning back.", 2547698.0]]
我不认识他，他是谁？	[["I don't know him, who is he?", 6276559.0]]
我爱你，Raphael！	[['I love you, Raphael!', 5645299.0]]
我很爱你，妈妈！	[['I love you so much, Mom!', 2419242.0]]
我不去学校。	[["I don't go to school.", 1578584.0]]
我昨天买了好几本书。	[['I bought several books yesterday.', 6452045.0]]
我不认识那个人。	[["I don't know that person.", 6559108.0]]
那是我的。	[["That's mine.", 1841577.0]]
我去买！	[["I'm going shopping!", 6744879.0]]
你不是我。	[["You're not me.", 2218273.0]]
我是个学生。	[["I'm a pupil.", 10657350.0]]
我去看电影。	[["I'm going to the cinema.", 1055075.0]]
今天我回家	[["Today I'm going home.", 7775995.0]]
我朋友的爸爸是个医生。	[["My friend's father is a doctor.", 7782974.0]]
我今天去买衣服了。	[['I am going to buy clothes today.', 7794436.0]]
我很爱喝茶。	[['I love drinking tea.', 7794451.0]]
我喜欢吃水果。	[['I like eating fruit.', 7808535.0]]
我买了衣服了。	[['I have bought clothes.', 7841349.0]]
我是他的朋友。	[["I'm his friend.", 8246471.0]]
她认识我。	[['She knows me.', 314454.0]]
我太高兴了。	[["I'm so happy.", 321673.0]]
你是我的。	[["You're mine.", 2217883.0]]
那是我的钱。	[["That's my money.", 6670223.0]]
我买衣服了。	[['I have bought some clothes.', 8590678.0]]
我能看看那个吗？	[['Can I have a look at that?', 10596796.0]]
我什么都不是。	[['I am nothing.', 1334412.0]]
我三十岁。	[['I am 30 years old.', 3449669.0]]
我朋友很少。	[["I don't have many friends.", 1970154.0]]
我24岁了。	[['I am 24 years old.', 1535873.0]]
我认识你吗？	[['Do I know you?', 1461944.0]]
我不喜欢狗。	[["I don't like dogs.", 257244.0]]
我十点回来。	[["I'll be back at ten.", 73430.0]]
我是个大学生。	[["I'm a student in a university.", 1332122.0]]
我叫了你。	[['I called you.', 2245636.0]]
我和他认识。	[['I am acquainted with him.', 260219.0]]
我喜欢我的工作。	[['I like my job.', 2377458.0]]
我去学校了。	[["I'm going to school.", 3315771.0]]
我三十二岁。	[["I'm 32 years old.", 9286624.0]]
我喝了水。	[['I drank the water.', 2638593.0]]
我没买。	[["I didn't buy that.", 5157769.0]]
你是我的女儿。	[['You are my daughter.', 2547999.0]]
她不爱我了。	[["She doesn't love me anymore.", 1848815.0]]
我买了。	[["I'm buying.", 1844179.0]]
我是	[['I am!', 1148274.0]]
我不去。	[['I will not go.', 9932288.0]]
请来我家里。	[['Please come into my home.', 1225105.0]]
我昨天去了学校。	[['I went to school yesterday.', 257759.0]]
我十二岁了。	[['I am twelve years old.', 4353654.0]]
我很高兴你今天来了。	[["I'm glad you came today.", 3304010.0]]
我很好。你呢？	[["I'm fine. How about you?", 239427.0]]
我儿子十岁了。	[['My son is ten years old.', 935930.0]]
我喜欢你！	[['I like you.', 410751.0]]
我今天看见她了。	[['I saw her today.', 3910547.0]]
我昨天没回家。	[["I didn't go home yesterday.", 6266682.0]]
我是你。	[['I am you.', 10121391.0]]
我回来了！	[["I'm back.", 564159.0]]
昨天我吃了米饭。	[['Yesterday I ate rice.', 7356202.0]]
我认识你儿子。	[['I know your son.', 1841674.0]]
我！	[['Me!', 4869848.0]]
我能吗？	[['May I?', 526369.0]]
谁，我？	[['Who? Me?', 4477708.0]]
我不喜欢你朋友。	[["I don't like your friends.", 1970155.0]]
我爱Tatoeba。	[['I love Tatoeba.', 1200089.0]]
她不听我的。	[["She doesn't listen to me.", 2223784.0]]
他喜欢我吗？	[['Does he like me?', 1836327.0]]
我明天回日本。	[["I'll be going back to Japan tomorrow.", 9808650.0]]
我没零钱。	[["I don't have any change.", 249944.0]]
我昨天喝了茶。	[['I drank tea yesterday.', 3157604.0]]
我的儿子！	[['My son!', 5320081.0]]
我好看吗？	[['I am handsome?', 3487860.0]]
我的儿子八岁了。	[['My son is eight years old.', 5023310.0]]
我不认识他。	[['I am not acquainted with him.', 260497.0]]
我很好，你呢？	[["I'm fine, and you?", 2714936.0]]
我明天能去看电影吗？	[['Can I go to the movies tomorrow?', 5357246.0]]
我昨天喝多了	[['I drank too much yesterday.', 10455244.0]]
我什么人都没看见。	[["I didn't see anyone.", 2092522.0]]
我叫Tom。	[["I'm called Tom.", 6645799.0]]
我九点回来。	[["I'll be back by nine.", 10191651.0]]
我不会回来的。	[["I won't come back.", 5858861.0]]
我吃水果、喝水。	[['I eat fruit and drink water.', 1138030.0]]
没人喜欢我。	[['Nobody likes me.', 6220052.0]]
我叫他明天去那里。	[['I asked him to go there tomorrow.', 260494.0]]
我是去年认识他的。	[['I got acquainted with him last year.', 256889.0]]
我是学生。	[["I'm a student.", 567368.0]]
我的名字是Yatarou.	[['My name is Yatarou.', 321549.0]]
我没看见Stefan。	[["I didn't see Stefan.", 9123721.0]]
我二十五岁了。	[["I'm 25 years old.", 957242.0]]
昨天是星期五。	[['It was Friday yesterday.', 8312416.0]]
下个星期二？	[['Next Tuesday?', 7835453.0]]
是的，下个星期二。	[['Yes, next Tuesday.', 9408774.0]]
我很想你。	[['I miss you.', 1308.0]]
我什么都不想喝。	[["I don't want to drink anything.", 1477114.0]]
你想我了？	[['Do you miss me?', 1230779.0]]
我想喝点东西。	[["I'd like something to drink.", 25194.0]]
你想太多了。	[["You're reading too much into things.", 2535043.0]]
你想去看电影吗？	[['Do you feel like going to the theater?', 69672.0]]
我想睡觉。	[['I want to sleep.', 321870.0]]
我不想去学校。	[["I don't want to go to school.", 1860.0]]
你想吃什么？	[['What would you like to eat?', 400191.0]]
你想喝什么？	[['What would you like to drink?', 24765.0]]
我想喝点什么。	[["I'd like something to drink.", 25194.0]]
我想吃点东西。	[['I want to eat something.', 256362.0]]
他想明天去看你。	[['He will come to you tomorrow.', 304079.0]]
想喝什么？	[['What do you want to drink?', 400184.0]]
你想喝点东西吗？	[['Do you want something to drink?', 64760.0]]
我想没关系。	[["I think it's fine.", 2407944.0]]
她想去哪里?	[['Where does she want to go?', 776135.0]]
他想去哪里?	[['Where does he want to go?', 776134.0]]
我想你。	[['I missed you.', 407574.0]]
我想去那里。	[['I want to go there.', 2011409.0]]
你想喝点什么吗？	[['Do you want a drink?', 562850.0]]
你想去吗？	[['Do you want to go there?', 2011853.0]]
我想看医生。	[["I'd like to see a doctor.", 28045.0]]
你想吃点东西吗？	[['Do you want anything to eat?', 69619.0]]
我现在想回家了。	[['I would like to go home now.', 39487.0]]
你想去哪里?	[['Where do you want to go?', 38104.0]]
我想吃	[['I would like to eat.', 895907.0]]
我想去看电影。	[["I'd like to go to the movies.", 26447.0]]
我想买点东西吃。	[['I want to buy something to eat.', 256365.0]]
我想现在喝冷的东西。	[['I want something cold to drink now.', 321814.0]]
我想家了。	[['I feel homesick.', 33712.0]]
